學年度,洲別,國別,學位生_正式修讀學位外國生[人],學位生_僑生(含港澳)[人],學位生_正式修讀學位陸生[人],非學位生_外國交換生[人],非學位生_外國短期研習及個人選讀[人],非學位生_大專附設華語文中心學生[人],非學位生_大陸研修生[人],非學位生_海外青年就學輔導技術研習班[人],境外專班[人]
113,亞洲,越南,27029,3125,0,190,686,8665,0,0,85
113,亞洲,印尼,5548,6605,0,305,431,3314,0,9,1
113,亞洲,馬來西亞,2020,7127,0,47,173,211,0,108,76
113,亞洲,日本,2385,183,0,880,2093,3238,0,0,1
113,亞洲,香港,0,6278,0,123,425,48,0,0,0
113,亞洲,泰國,1420,435,0,172,899,1839,0,0,3
113,亞洲,菲律賓,2370,252,0,43,459,1334,0,0,0
113,亞洲,大陸地區,0,0,1556,0,0,16,1917,0,0
113,亞洲,緬甸,351,2152,0,19,6,431,0,14,5
113,亞洲,印度,1491,4,0,135,505,389,0,0,0
113,亞洲,南韓,486,146,0,382,435,969,0,0,0
113,亞洲,澳門,0,1603,0,4,30,37,0,0,0
113,亞洲,蒙古,428,0,0,8,8,147,0,0,0
113,亞洲,新加坡,93,61,0,116,249,17,0,0,9
113,亞洲,巴基斯坦,425,0,0,3,19,55,0,0,0
113,亞洲,俄羅斯,191,0,0,31,14,146,0,0,0
113,亞洲,土耳其,70,1,0,26,8,70,0,0,0
113,亞洲,柬埔寨,25,89,0,3,4,29,0,0,1
113,亞洲,吉爾吉斯,96,0,0,6,0,37,0,0,0
113,亞洲,伊朗,68,1,0,0,3,22,0,0,0
113,亞洲,以色列,9,0,0,21,1,35,0,0,0
113,亞洲,尼泊爾,40,0,0,0,1,18,0,0,0
113,亞洲,斯里蘭卡,43,0,0,0,3,5,0,0,0
113,亞洲,孟加拉,36,0,0,1,2,5,0,0,0
113,亞洲,約旦,21,7,0,1,0,14,0,0,0
113,亞洲,巴勒斯坦,42,0,0,0,1,0,0,0,0
113,亞洲,寮國,18,0,0,1,0,5,0,0,0
113,亞洲,哈薩克,5,0,0,4,3,4,0,0,0
113,亞洲,阿富汗,7,0,0,3,1,1,0,0,0
113,亞洲,葉門,7,0,0,0,0,5,0,0,0
113,亞洲,不丹,1,0,0,0,0,10,0,0,0
113,亞洲,土庫曼,6,0,0,0,0,5,0,0,0
113,亞洲,伊拉克,6,0,0,1,0,3,0,0,0
113,亞洲,汶萊,3,4,0,0,0,3,0,0,0
113,亞洲,巴林,3,0,0,0,6,0,0,0,0
113,亞洲,沙烏地阿拉伯,4,3,0,0,0,2,0,0,0
113,亞洲,烏茲別克,6,0,0,3,0,0,0,0,0
113,亞洲,敘利亞,1,0,0,0,5,2,0,0,0
113,亞洲,塔吉克,5,0,0,1,0,2,0,0,0
113,亞洲,黎巴嫩,1,1,0,1,0,3,0,0,0
113,亞洲,賽普勒斯,0,0,0,0,2,0,0,0,0
