Year,Continent,Country,International (Degree),Overseas Chinese (Degree),Mainland (Degree),Exchange (Non-degree),Short-term (Non-degree),Mandarin training (Non-degree),Mainland (Non-degree),Others,Total
114,Asia,Viet Nam,37379,3561,0,155,636,11228,0,118,53077
114,Asia,Indonesia,6025,8535,0,517,429,3818,0,20,19344
114,Asia,Malaysia,1567,6442,0,42,282,172,0,315,8820
114,Asia,Japan,2242,177,0,682,2785,2842,0,1,8729
114,Asia,Hong Kong,0,4680,0,92,300,31,0,0,5103
114,Asia,Thailand,1432,525,0,257,1030,1500,0,2,4746
114,America,United States,408,133,0,354,922,2465,0,2,4284
114,Asia,China,0,0,1081,0,0,2,3030,0,4113
114,Asia,South Korea,419,137,0,311,484,961,0,0,2312
114,Asia,Macau,0,1530,0,22,29,2,0,0,1583
113,Asia,Viet Nam,27029,3125,0,155,636,8665,0,85,39695
113,Asia,Indonesia,5548,6605,0,517,429,3314,0,10,16423
113,Asia,Malaysia,2020,7127,0,42,282,211,0,184,9866
113,Asia,Japan,2385,183,0,682,2785,3238,0,1,9274
113,Asia,Hong Kong,0,6278,0,92,300,48,0,0,6718
113,Asia,Thailand,1420,435,0,257,1030,1839,0,3,4984
113,America,United States,382,139,0,354,922,2400,0,7,4204
113,Asia,China,0,0,1556,0,0,16,1917,0,3489
113,Asia,South Korea,486,146,0,311,484,969,0,0,2396
113,Asia,Macau,0,1603,0,22,29,37,0,0,1691
112,Asia,Viet Nam,16111,2819,0,190,686,8077,0,99,27982
112,Asia,Indonesia,5110,4990,0,305,431,5610,0,0,16446
112,Asia,Malaysia,2511,7586,0,47,173,219,0,134,10670
112,Asia,Japan,2434,199,0,880,2093,4282,0,1,9889
112,Asia,Hong Kong,0,7854,0,123,425,81,0,0,8483
112,Asia,Thailand,1538,358,0,172,899,3343,0,3,6313
112,America,United States,409,137,0,295,769,3431,0,8,5049
112,Asia,China,0,0,2128,0,0,27,2087,0,4242
112,Asia,South Korea,548,150,0,382,435,1609,0,0,3124
112,Asia,Macau,0,1845,0,4,30,5,0,0,1884
111,Asia,Viet Nam,13649,2492,0,174,310,6962,0,239,23826
111,Asia,Indonesia,5388,4274,0,765,250,3938,0,151,14766
111,Asia,Malaysia,3169,7755,0,67,57,596,0,858,12502
111,Asia,Hong Kong,0,9069,0,86,137,113,0,0,9405
111,Asia,Japan,2465,205,0,888,624,3141,0,1,7324
111,Asia,Thailand,1560,263,0,131,748,1892,0,10,4604
111,America,United States,423,149,0,399,706,2192,0,4,3873
111,Asia,China,0,0,3121,0,0,7,22,0,3150
111,Asia,South Korea,624,149,0,382,235,1008,0,0,2398
111,Asia,Macau,0,2120,0,59,2,4,0,0,2185
110,Asia,Viet Nam,11945,2149,0,373,217,4122,0,325,19131
110,Asia,Indonesia,6609,3258,0,2055,834,3126,0,139,16021
110,Asia,Malaysia,3735,7572,0,68,27,172,0,1052,12626
110,Asia,Hong Kong,0,9012,0,23,43,90,0,0,9168
110,Asia,Japan,2199,191,0,199,529,2468,0,0,5586
110,Asia,China,0,0,4293,0,0,0,0,0,4293
110,America,United States,415,148,0,206,154,2012,0,5,2940
110,Asia,Thailand,1218,232,0,18,306,1075,0,15,2864
110,Asia,Macau,0,2493,0,14,0,4,0,0,2511
110,Asia,South Korea,664,134,0,14,81,860,0,0,1753
109,Asia,Viet Nam,10319,1601,0,324,200,5053,0,547,18044
109,Asia,Indonesia,6289,2474,0,1216,2079,3369,0,167,15594
109,Asia,Malaysia,4135,7466,0,9,75,110,0,1368,13163
109,Asia,Hong Kong,0,7810,0,12,69,24,0,0,7915
109,Asia,China,0,0,6032,0,0,1,0,0,6033
109,Asia,Japan,1975,172,0,106,260,2602,0,6,5121
109,Asia,Macau,0,3158,0,30,1,0,0,0,3189
109,Asia,Thailand,1008,189,0,26,267,1170,0,20,2680
109,America,United States,405,144,0,181,131,1347,0,15,2223
109,Asia,South Korea,690,152,0,41,72,1173,0,3,2131
108,Asia,China,0,0,8353,0,0,57,16696,0,25106
108,Asia,Viet Nam,9326,1097,0,168,350,5591,0,608,17140
108,Asia,Malaysia,4691,7724,0,49,976,562,0,1617,15619
108,Asia,Indonesia,6460,2074,0,290,1216,4089,0,152,14281
108,Asia,Japan,1751,162,0,756,1952,6442,0,1,11064
108,Asia,Hong Kong,0,6827,0,164,726,183,0,0,7900
