Year,Continent,Country,International (Degree),Overseas Chinese (Degree),Mainland (Degree),Exchange (Non-degree),Short-term (Non-degree),Mandarin training (Non-degree),Mainland (Non-degree),Others,Total
113,Asia,Viet Nam,27029,3125,0,190,686,8665,0,85,39780
113,Asia,Indonesia,5548,6605,0,305,431,3314,0,10,16213
113,Asia,Malaysia,2020,7127,0,47,173,211,0,184,9762
113,Asia,Japan,2385,183,0,880,2093,3238,0,1,8780
113,Asia,Hong Kong,0,6278,0,123,425,48,0,0,6874
113,Asia,Thailand,1420,435,0,172,899,1839,0,3,4768
113,Asia,Philippines,2370,252,0,43,459,1334,0,0,4458
113,America,United States,382,139,0,295,769,2400,0,7,3992
113,Asia,China,0,0,1556,0,0,16,1917,0,3489
113,Asia,Myanmar,351,2152,0,19,6,431,0,19,2978
113,Asia,India,1491,4,0,135,505,389,0,0,2524
113,Asia,South Korea,486,146,0,382,435,969,0,0,2418
113,Europe,France,146,6,0,1077,67,667,0,0,1963
113,Asia,Macau,0,1603,0,4,30,37,0,0,1674
113,Europe,Germany,133,4,0,615,100,437,0,0,1289
113,Oceania,Australia,23,4,0,46,443,308,0,0,824
113,Europe,United Kingdom,73,7,0,107,46,417,0,0,650
113,Africa,East Timor,404,1,0,0,0,197,0,0,602
113,Asia,Mongolia,428,0,0,8,8,147,0,0,591
113,Asia,Singapore,93,61,0,116,249,17,0,9,545
113,Asia,Pakistan,425,0,0,3,19,55,0,0,502
113,America,Paraguay,212,19,0,94,5,134,0,9,473
113,America,Canada,47,128,0,50,26,199,0,3,453
113,Asia,Russian Federation,191,0,0,31,14,146,0,0,382
113,Europe,Spain,45,2,0,144,9,136,0,0,336
113,America,Belize,223,1,0,0,0,86,0,0,310
113,Europe,Netherlands,16,1,0,152,11,110,0,0,290
113,Europe,Italy,54,1,0,102,21,107,0,0,285
113,Europe,Poland,44,2,0,40,33,162,0,0,281
113,Europe,Czech Republic,29,0,0,101,37,72,0,0,239
113,America,Mexico,54,10,0,28,21,117,0,3,233
113,America,Guatemala,114,1,0,1,0,77,0,15,208
113,Africa,Ethiopia,183,0,0,0,2,4,0,0,189
113,America,Haiti,139,0,0,0,0,46,0,0,185
113,America,Saint Lucia,130,0,0,0,0,55,0,0,185
113,Asia,Turkey,70,1,0,26,8,70,0,0,175
113,America,Saint Vincent And The Grenadines,113,0,0,0,0,57,0,0,170
113,Europe,Austria,28,0,0,59,21,48,0,0,156
113,Europe,Belgium,15,2,0,63,3,72,0,0,155
113,America,Honduras,114,1,0,0,0,38,0,0,153
113,Asia,"Cambodia, Kingdom Of Cambodia",25,89,0,3,4,29,0,1,151
113,America,Brazil,20,31,0,21,12,61,0,0,145
113,Europe,Ukraine,73,0,0,9,3,56,0,0,141
113,Asia,Kyrgyzstan,96,0,0,6,0,37,0,0,139
113,Africa,South Africa,52,38,0,0,1,43,0,0,134
113,Europe,Sweden,7,0,0,69,1,46,0,0,123
113,Europe,Finland,5,0,0,65,1,36,0,0,107
113,Africa,Mali,69,0,0,0,0,35,0,0,104
113,Europe,Switzerland,12,0,0,36,4,52,0,0,104
113,Oceania,New Zealand,7,9,0,4,17,61,0,1,99
113,Europe,Norway,7,0,0,44,2,46,0,0,99
113,America,Argentina,10,38,0,2,4,39,0,4,97
113,Asia,Iran（Islamic Republic Of Iran）,68,1,0,0,3,22,0,0,94
113,Africa,Nigeria,56,2,0,0,1,6,0,29,94
113,Europe,Hungary,18,2,0,22,9,43,0,0,94
113,America,Peru,42,1,0,3,0,40,0,0,86
113,America,Saint Kitts And Nevis,60,0,0,0,0,26,0,0,86
113,Europe,Lithuania,8,0,0,29,19,28,0,0,84
113,Africa,Malawi,69,1,0,0,1,7,0,0,78
113,Africa,"Tanzania, United Republic Of",69,0,0,0,0,7,0,0,76
113,Europe,Slovakia,7,0,0,24,17,28,0,0,76
113,Europe,Denmark,5,0,0,33,4,31,0,0,73
113,Oceania,Marshall Islands,39,1,0,0,0,31,0,0,71
113,Asia,Israel,9,0,0,21,1,35,0,0,66
113,Oceania,Palau,46,2,0,0,0,17,0,0,65
113,Africa,Egypt,47,0,0,0,3,14,0,0,64
113,America,Colombia,31,2,0,7,0,21,0,1,62
113,Asia,Nepal,40,0,0,0,1,18,0,0,59
113,Africa,Guanda,30,0,0,0,0,22,0,0,52
113,Asia,Srilanka,43,0,0,0,3,5,0,0,51
113,Oceania,Tuvalu,31,0,0,0,0,17,0,0,48
113,America,Ecuador,15,10,0,2,0,18,0,3,48
113,America,Chile,18,7,0,1,1,15,0,3,45
113,Asia,Bangladesh,36,0,0,1,2,5,0,0,44
113,Africa,Burundi,40,0,0,0,0,4,0,0,44
113,Europe,Portugal,9,9,0,7,3,16,0,0,44
113,Asia,Jordan,21,7,0,1,0,14,0,0,43
113,Asia,"Palestinian Territory, Occupied",42,0,0,0,1,0,0,0,43
113,Africa,Mozambique,11,0,0,0,0,31,0,0,42
113,America,Nicaragua,31,3,0,0,0,4,0,0,38
113,Europe,Ireland,9,0,0,2,0,22,0,0,33
113,Africa,Kenya,18,0,0,0,4,6,0,0,28
113,Oceania,Papua New Guinea,17,1,0,0,0,8,0,0,26
113,America,Venezuela,6,5,0,3,5,6,0,0,25
113,Asia,Lao People'S Democratic Republic,18,0,0,1,0,5,0,0,24
113,America,El Salvador,11,3,0,1,0,9,0,0,24
113,Europe,Romania,3,0,0,8,5,7,0,0,23
113,Africa,Gambia,21,0,0,0,0,0,0,0,21
113,Europe,Slovenia,5,0,0,5,0,11,0,0,21
113,Africa,Burkina Faso,15,0,0,0,0,5,0,0,20
113,Africa,Morocco,4,0,0,4,0,10,0,0,18
113,Asia,Kazakhstan,5,0,0,4,3,4,0,0,16
113,Europe,Belarus,4,1,0,1,2,8,0,0,16
113,America,Panama,8,3,0,0,1,4,0,0,16
113,Africa,Tunisia,3,0,0,4,1,5,0,0,13
113,Africa,Zimbabwe,6,0,0,0,0,6,0,1,13
113,Asia,Afghanistan,7,0,0,3,1,1,0,0,12
113,Asia,Yemen,7,0,0,0,0,5,0,0,12
113,Europe,Greece,2,0,0,1,3,6,0,0,12
113,Europe,Luxembourg,2,0,0,5,1,4,0,0,12
113,Europe,Latvia,3,0,0,5,1,3,0,0,12
113,Asia,Bhutan,1,0,0,0,0,10,0,0,11
113,Asia,Trukmenistan,6,0,0,0,0,5,0,0,11
113,Asia,Iraq,6,0,0,1,0,3,0,0,10
113,Asia,Brunei Darussalam,3,4,0,0,0,3,0,0,10
113,Africa,Cõte D'Ivoire,3,0,0,2,1,4,0,0,10
113,Europe,Bulgaria,1,0,0,4,4,1,0,0,10
113,Europe,Estonia,1,0,0,3,1,5,0,0,10
113,Asia,Bahrain,3,0,0,0,6,0,0,0,9
113,Asia,Saudi Arabia,4,3,0,0,0,2,0,0,9
113,Asia,Uzbekistan,6,0,0,3,0,0,0,0,9
113,Oceania,Kiribati,4,0,0,0,0,5,0,0,9
113,Europe,Croacia,1,0,0,4,1,3,0,0,9
113,America,Costa Rica,2,5,0,0,0,2,0,0,9
113,Asia,Syrian Arab Republic,1,0,0,0,5,2,0,0,8
113,Asia,Tajikistan,5,0,0,1,0,2,0,0,8
113,Oceania,Fiji,4,2,0,0,0,2,0,0,8
113,Oceania,Solomon Islands,8,0,0,0,0,0,0,0,8
113,Africa,Ghana,6,0,0,0,0,0,0,2,8
113,Oceania,Nauru,0,0,0,0,0,7,0,0,7
113,Africa,Senegal,6,0,0,1,0,0,0,0,7
113,Europe,Albania,1,0,0,0,0,6,0,0,7
113,America,Dominican Republic,1,6,0,0,0,0,0,0,7
113,America,Bolivia,3,1,0,0,0,3,0,0,7
113,Asia,Lebanon,1,1,0,1,0,3,0,0,6
113,Africa,Rwanda,5,0,0,0,1,0,0,0,6
113,Africa,Mali,5,0,0,0,0,1,0,0,6
113,Africa,"Congo,The Democratic Republic Of The",4,0,0,0,0,2,0,0,6
113,Africa,Sudan,1,0,0,0,3,1,0,0,5
113,Africa,Namibia,1,1,0,0,2,1,0,0,5
113,Europe,Serbia,4,0,0,0,0,1,0,0,5
113,America,Trinidad And Tobago,0,0,0,2,3,0,0,0,5
113,Africa,Benin,3,0,0,0,0,1,0,0,4
113,Africa,Lesotho,3,0,0,0,0,1,0,0,4
113,Africa,Mauritius,2,1,0,0,0,1,0,0,4
113,Europe,Congo,1,0,0,0,3,0,0,0,4
113,Africa,Botswana,0,0,0,0,0,3,0,0,3
113,Africa,Cameroon,3,0,0,0,0,0,0,0,3
113,Africa,Congo,2,0,0,0,0,1,0,0,3
113,Africa,Gabon,0,0,0,3,0,0,0,0,3
113,Africa,Sierra Leone,3,0,0,0,0,0,0,0,3
113,Asia,Cyprus,0,0,0,0,2,0,0,0,2
113,Asia,Kuwait,0,0,0,0,0,2,0,0,2
113,Asia,Oman,2,0,0,0,0,0,0,0,2
113,Asia,Armenia,1,0,0,0,0,1,0,0,2
113,Asia,Azerbaijan,1,0,0,0,1,0,0,0,2
